symbol,name,market,is_st
002039,黔源电力,sz,false
002040,南 京 港,sz,false
002041,登海种业,sz,false
002042,华孚时尚,sz,false
002043,兔 宝 宝,sz,false
002044,美年健康,sz,false
002045,国光电器,sz,false
002046,国机精工,sz,false
002047,宝鹰股份,sz,false
002048,宁波华翔,sz,false
002049,紫光国微,sz,false
002050,三花智控,sz,false
002051,中工国际,sz,false
002052,同洲电子,sz,false
002053,云南能投,sz,false
002054,德美化工,sz,false
002055,ST得润,sz,true
002056,横店东磁,sz,false
002057,中钢天源,sz,false
002058,*ST威尔,sz,true
002059,云南旅游,sz,false
002060,广东建工,sz,false
002061,浙江交科,sz,false
002062,宏润建设,sz,false
002063,远光软件,sz,false
002064,华峰化学,sz,false
002065,东华软件,sz,false
002066,瑞泰科技,sz,false
002067,景兴纸业,sz,false
002068,黑猫股份,sz,false
002069,獐子岛,sz,false
002072,凯瑞德,sz,false
002073,软控股份,sz,false
002074,国轩高科,sz,false
002075,沙钢股份,sz,false
002076,*ST星光,sz,true
002077,大港股份,sz,false
002078,太阳纸业,sz,false
002079,苏州固锝,sz,false
002080,中材科技,sz,false
002081,金 螳 螂,sz,false
002082,ST万邦,sz,true
002083,孚日股份,sz,false
002084,海鸥住工,sz,false
002085,万丰奥威,sz,false
002086,东方海洋,sz,false
002088,鲁阳节能,sz,false
002090,金智科技,sz,false
002091,江苏国泰,sz,false
002092,中泰化学,sz,false
002093,国脉科技,sz,false
002094,青岛金王,sz,false
002095,生 意 宝,sz,false
002096,易普力,sz,false
002097,山河智能,sz,false
002098,浔兴股份,sz,false
002099,海翔药业,sz,false
002100,天康生物,sz,false
002101,广东鸿图,sz,false
002102,ST能特,sz,true
002103,广博股份,sz,false
002104,恒宝股份,sz,false
002105,信隆健康,sz,false
002106,莱宝高科,sz,false
002107,沃华医药,sz,false
002108,沧州明珠,sz,false
002109,ST兴化,sz,true
002110,三钢闽光,sz,false
002111,威海广泰,sz,false
002112,三变科技,sz,false
002114,罗平锌电,sz,false
002115,三维通信,sz,false
002116,中国海诚,sz,false
002117,东港股份,sz,false
002119,康强电子,sz,false
002120,韵达股份,sz,false
002121,科陆电子,sz,false
002122,ST汇洲,sz,true
002123,梦网科技,sz,false
002124,天邦食品,sz,false
002125,湘潭电化,sz,false
002126,银轮股份,sz,false
002127,南极电商,sz,false
002128,电投能源,sz,false
002129,TCL中环,sz,false
002130,沃尔核材,sz,false
002131,利欧股份,sz,false
002132,恒星科技,sz,false
002133,广宇集团,sz,false
002134,天津普林,sz,false
002135,东南网架,sz,false
002136,安 纳 达,sz,false
002137,实益达,sz,false
002138,顺络电子,sz,false
002139,拓邦股份,sz,false
002140,东华科技,sz,false
002141,贤丰控股,sz,false
002142,宁波银行,sz,false
002144,宏达高科,sz,false
002145,钛能化学,sz,false
002146,荣盛发展,sz,false
002148,北纬科技,sz,false
002149,西部材料,sz,false
002150,正泰电源,sz,false
002151,北斗星通,sz,false
002152,广电运通,sz,false
002153,石基信息,sz,false
002154,报 喜 鸟,sz,false
002155,湖南黄金,sz,false
002156,通富微电,sz,false
002157,正邦科技,sz,false
002158,汉钟精机,sz,false
002159,三特索道,sz,false
002160,常铝股份,sz,false
002161,远 望 谷,sz,false
002162,悦心健康,sz,false
002163,海南发展,sz,false
002164,宁波东力,sz,false
002165,红 宝 丽,sz,false
002166,莱茵生物,sz,false
002167,东方锆业,sz,false
002168,ST惠程,sz,true
002169,智光电气,sz,false
002170,芭田股份,sz,false
002171,楚江新材,sz,false
002172,澳洋健康,sz,false
002173,创新医疗,sz,false
002174,游族网络,sz,false
002175,*ST东智,sz,true
002176,江特电机,sz,false
002177,御银股份,sz,false
002178,延华智能,sz,false
002179,中航光电,sz,false
002180,奔图科技,sz,false
002181,粤 传 媒,sz,false
002182,宝武镁业,sz,false
002183,怡 亚 通,sz,false
002184,海得控制,sz,false
002185,华天科技,sz,false
002186,全 聚 德,sz,false
002187,广百股份,sz,false
002188,中天服务,sz,false
002189,中光学,sz,false
002190,成飞集成,sz,false
002191,劲嘉股份,sz,false
002192,融捷股份,sz,false
002193,ST如意,sz,true
002194,武汉凡谷,sz,false
002195,岩山科技,sz,false
002196,方正电机,sz,false
002197,证通电子,sz,false
002198,ST嘉应,sz,true
002199,*ST东晶,sz,true
002200,交投生态,sz,false
002201,九鼎新材,sz,false
002202,金风科技,sz,false
002203,海亮股份,sz,false
002204,大连重工,sz,false
002205,国统股份,sz,false
002206,海 利 得,sz,false
002207,*ST准油,sz,true
002208,合肥城建,sz,false
002209,达 意 隆,sz,false
002210,飞马国际,sz,false
002211,ST宏达,sz,true
002212,天融信,sz,false
002213,大为股份,sz,false
002214,*ST大立,sz,true
002215,诺 普 信,sz,false
002216,三全食品,sz,false
002217,合力泰,sz,false
002218,拓日新能,sz,false
002219,新里程,sz,false
